PPI_CHN,PPI_GBR,Date,PPI_CHN-1,PPI_CHN-2,PPI_CHN-3,PPI_CHN-4,PPI_CHN-5,PPI_CHN-6,PPI_CHN-7,PPI_CHN-8,PPI_CHN-12,PPI_GBR-1,PPI_GBR-2,PPI_GBR-3,PPI_GBR-4,PPI_GBR-5,PPI_GBR-6,PPI_GBR-7,PPI_GBR-8,PPI_GBR-12
8.0,9.02977905859751,200803,6.6,6.1,5.4,4.6,3.2,2.7,2.6,2.4,2.7,8.33333333333334,8.06608357628765,7.198443579766541,6.51750972762646,4.95626822157433,3.2755298651252502,1.91204588910134,2.01149425287355,1.9588638589618101
8.1,9.73282442748093,200804,8.0,6.6,6.1,5.4,4.6,3.2,2.7,2.6,2.9,9.02977905859751,8.33333333333334,8.06608357628765,7.198443579766541,6.51750972762646,4.95626822157433,3.2755298651252502,1.91204588910134,1.8464528668610098
8.2,11.563981042654,200805,8.1,8.0,6.6,6.1,5.4,4.6,3.2,2.7,2.8,9.73282442748093,9.02977905859751,8.33333333333334,8.06608357628765,7.198443579766541,6.51750972762646,4.95626822157433,3.2755298651252502,1.7357762777241799
8.8,12.818096135721,200806,8.2,8.1,8.0,6.6,6.1,5.4,4.6,3.2,2.5,11.563981042654,9.73282442748093,9.02977905859751,8.33333333333334,8.06608357628765,7.198443579766541,6.51750972762646,4.95626822157433,2.1174205967276003
10.0,13.427230046948399,200807,8.8,8.2,8.1,8.0,6.6,6.1,5.4,4.6,2.4,12.818096135721,11.563981042654,9.73282442748093,9.02977905859751,8.33333333333334,8.06608357628765,7.198443579766541,6.51750972762646,2.01149425287355
10.1,12.4765478424015,200808,10.0,8.8,8.2,8.1,8.0,6.6,6.1,5.4,2.6,13.427230046948399,12.818096135721,11.563981042654,9.73282442748093,9.02977905859751,8.33333333333334,8.06608357628765,7.198443579766541,1.91204588910134
9.1,11.847014925373099,200809,10.1,10.0,8.8,8.2,8.1,8.0,6.6,6.1,2.7,12.4765478424015,13.427230046948399,12.818096135721,11.563981042654,9.73282442748093,9.02977905859751,8.33333333333334,8.06608357628765,3.2755298651252502
6.6,8.981481481481481,200810,9.1,10.1,10.0,8.8,8.2,8.1,8.0,6.6,3.2,11.847014925373099,12.4765478424015,13.427230046948399,12.818096135721,11.563981042654,9.73282442748093,9.02977905859751,8.33333333333334,4.95626822157433
2.0,5.38812785388129,200811,6.6,9.1,10.1,10.0,8.8,8.2,8.1,8.0,4.6,8.981481481481481,11.847014925373099,12.4765478424015,13.427230046948399,12.818096135721,11.563981042654,9.73282442748093,9.02977905859751,6.51750972762646
-1.1,3.0852994555353703,200812,2.0,6.6,9.1,10.1,10.0,8.8,8.2,8.1,5.4,5.38812785388129,8.981481481481481,11.847014925373099,12.4765478424015,13.427230046948399,12.818096135721,11.563981042654,9.73282442748093,7.198443579766541
-3.3,1.5197841726618502,200901,-1.1,2.0,6.6,9.1,10.1,10.0,8.8,8.2,6.1,3.0852994555353703,5.38812785388129,8.981481481481481,11.847014925373099,12.4765478424015,13.427230046948399,12.818096135721,11.563981042654,8.06608357628765
-4.5,0.763267740011918,200902,-3.3,-1.1,2.0,6.6,9.1,10.1,10.0,8.8,6.6,1.5197841726618502,3.0852994555353703,5.38812785388129,8.981481481481481,11.847014925373099,12.4765478424015,13.427230046948399,12.818096135721,8.33333333333334
-6.0,-0.850220264317202,200903,-4.5,-3.3,-1.1,2.0,6.6,9.1,10.1,10.0,8.0,0.763267740011918,1.5197841726618502,3.0852994555353703,5.38812785388129,8.981481481481481,11.847014925373099,12.4765478424015,13.427230046948399,9.02977905859751
-6.6,-1.93768115942032,200904,-6.0,-4.5,-3.3,-1.1,2.0,6.6,9.1,10.1,8.1,-0.850220264317202,0.763267740011918,1.5197841726618502,3.0852994555353703,5.38812785388129,8.981481481481481,11.847014925373099,12.4765478424015,9.73282442748093
-7.2,-3.98612291135656,200905,-6.6,-6.0,-4.5,-3.3,-1.1,2.0,6.6,9.1,8.2,-1.93768115942032,-0.850220264317202,0.763267740011918,1.5197841726618502,3.0852994555353703,5.38812785388129,8.981481481481481,11.847014925373099,11.563981042654
-7.8,-4.99721526037318,200906,-7.2,-6.6,-6.0,-4.5,-3.3,-1.1,2.0,6.6,8.8,-3.98612291135656,-1.93768115942032,-0.850220264317202,0.763267740011918,1.5197841726618502,3.0852994555353703,5.38812785388129,8.981481481481481,12.818096135721
-8.2,-6.0582229580574,200907,-7.8,-7.2,-6.6,-6.0,-4.5,-3.3,-1.1,2.0,10.0,-4.99721526037318,-3.98612291135656,-1.93768115942032,-0.850220264317202,0.763267740011918,1.5197841726618502,3.0852994555353703,5.38812785388129,13.427230046948399
-7.9,-5.155685293299981,200908,-8.2,-7.8,-7.2,-6.6,-6.0,-4.5,-3.3,-1.1,10.1,-6.0582229580574,-4.99721526037318,-3.98612291135656,-1.93768115942032,-0.850220264317202,0.763267740011918,1.5197841726618502,3.0852994555353703,12.4765478424015
-7.0,-4.9582985821518,200909,-7.9,-8.2,-7.8,-7.2,-6.6,-6.0,-4.5,-3.3,9.1,-5.155685293299981,-6.0582229580574,-4.99721526037318,-3.98612291135656,-1.93768115942032,-0.850220264317202,0.763267740011918,1.5197841726618502,11.847014925373099
-5.8,-2.779665817049,200910,-7.0,-7.9,-8.2,-7.8,-7.2,-6.6,-6.0,-4.5,6.6,-4.9582985821518,-5.155685293299981,-6.0582229580574,-4.99721526037318,-3.98612291135656,-1.93768115942032,-0.850220264317202,0.763267740011918,8.981481481481481
-2.1,-0.22674754477183398,200911,-5.8,-7.0,-7.9,-8.2,-7.8,-7.2,-6.6,-6.0,2.0,-2.779665817049,-4.9582985821518,-5.155685293299981,-6.0582229580574,-4.99721526037318,-3.98612291135656,-1.93768115942032,-0.850220264317202,5.38812785388129
1.7,1.5625,200912,-2.1,-5.8,-7.0,-7.9,-8.2,-7.8,-7.2,-6.6,-1.1,-0.22674754477183398,-2.779665817049,-4.9582985821518,-5.155685293299981,-6.0582229580574,-4.99721526037318,-3.98612291135656,-1.93768115942032,3.0852994555353703
4.3,2.4109014675052403,201001,1.7,-2.1,-5.8,-7.0,-7.9,-8.2,-7.8,-7.2,-3.3,1.5625,-0.22674754477183398,-2.779665817049,-4.9582985821518,-5.155685293299981,-6.0582229580574,-4.99721526037318,-3.98612291135656,1.5197841726618502
5.4,2.62605042016807,201002,4.3,1.7,-2.1,-5.8,-7.0,-7.9,-8.2,-7.8,-4.5,2.4109014675052403,1.5625,-0.22674754477183398,-2.779665817049,-4.9582985821518,-5.155685293299981,-6.0582229580574,-4.99721526037318,0.763267740011918
5.9,4.10094637223975,201003,5.4,4.3,1.7,-2.1,-5.8,-7.0,-7.9,-8.2,-6.0,2.62605042016807,2.4109014675052403,1.5625,-0.22674754477183398,-2.779665817049,-4.9582985821518,-5.155685293299981,-6.0582229580574,-0.850220264317202
6.81,5.03672612801678,201004,5.9,5.4,4.3,1.7,-2.1,-5.8,-7.0,-7.9,-6.6,4.10094637223975,2.62605042016807,2.4109014675052403,1.5625,-0.22674754477183398,-2.779665817049,-4.9582985821518,-5.155685293299981,-1.93768115942032
7.13,5.130890052356009,201005,6.81,5.9,5.4,4.3,1.7,-2.1,-5.8,-7.0,-7.2,5.03672612801678,4.10094637223975,2.62605042016807,2.4109014675052403,1.5625,-0.22674754477183398,-2.779665817049,-4.9582985821518,-3.98612291135656
6.4,4.0582726326743,201006,7.13,6.81,5.9,5.4,4.3,1.7,-2.1,-5.8,-7.8,5.130890052356009,5.03672612801678,4.10094637223975,2.62605042016807,2.4109014675052403,1.5625,-0.22674754477183398,-2.779665817049,-4.99721526037318
4.8,4.27528675703857,201007,6.4,7.13,6.81,5.9,5.4,4.3,1.7,-2.1,-8.2,4.0582726326743,5.130890052356009,5.03672612801678,4.10094637223975,2.62605042016807,2.4109014675052403,1.5625,-0.22674754477183398,-6.0582229580574
4.3,4.0582726326743,201008,4.8,6.4,7.13,6.81,5.9,5.4,4.3,1.7,-7.9,4.27528675703857,4.0582726326743,5.130890052356009,5.03672612801678,4.10094637223975,2.62605042016807,2.4109014675052403,1.5625,-5.155685293299981
4.3,3.94600207684319,201009,4.3,4.8,6.4,7.13,6.81,5.9,5.4,4.3,-7.0,4.0582726326743,4.27528675703857,4.0582726326743,5.130890052356009,5.03672612801678,4.10094637223975,2.62605042016807,2.4109014675052403,-4.9582985821518
5.0,4.343329886246121,201010,4.3,4.3,4.8,6.4,7.13,6.81,5.9,5.4,-5.8,3.94600207684319,4.0582726326743,4.27528675703857,4.0582726326743,5.130890052356009,5.03672612801678,4.10094637223975,2.62605042016807,-2.779665817049
6.1,4.21377183967112,201011,5.0,4.3,4.3,4.8,6.4,7.13,6.81,5.9,-2.1,4.343329886246121,3.94600207684319,4.0582726326743,4.27528675703857,4.0582726326743,5.130890052356009,5.03672612801678,4.10094637223975,-0.22674754477183398
5.9,5.12820512820512,201012,6.1,5.0,4.3,4.3,4.8,6.4,7.13,6.81,1.7,4.21377183967112,4.343329886246121,3.94600207684319,4.0582726326743,4.27528675703857,4.0582726326743,5.130890052356009,5.03672612801678,1.5625
6.6,6.345957011258959,201101,5.9,6.1,5.0,4.3,4.3,4.8,6.4,7.13,4.3,5.12820512820512,4.21377183967112,4.343329886246121,3.94600207684319,4.0582726326743,4.27528675703857,4.0582726326743,5.130890052356009,2.4109014675052403
7.2,7.267144319344929,201102,6.6,5.9,6.1,5.0,4.3,4.3,4.8,6.4,5.4,6.345957011258959,5.12820512820512,4.21377183967112,4.343329886246121,3.94600207684319,4.0582726326743,4.27528675703857,4.0582726326743,2.62605042016807
7.3,7.57575757575757,201103,7.2,6.6,5.9,6.1,5.0,4.3,4.3,4.8,5.9,7.267144319344929,6.345957011258959,5.12820512820512,4.21377183967112,4.343329886246121,3.94600207684319,4.0582726326743,4.27528675703857,4.10094637223975
6.8,7.49250749250751,201104,7.3,7.2,6.6,5.9,6.1,5.0,4.3,4.3,6.81,7.57575757575757,7.267144319344929,6.345957011258959,5.12820512820512,4.21377183967112,4.343329886246121,3.94600207684319,4.0582726326743,5.03672612801678
6.8,7.171314741035861,201105,6.8,7.3,7.2,6.6,5.9,6.1,5.0,4.3,7.13,7.49250749250751,7.57575757575757,7.267144319344929,6.345957011258959,5.12820512820512,4.21377183967112,4.343329886246121,3.94600207684319,5.130890052356009
7.1,7.80000000000001,201106,6.8,6.8,7.3,7.2,6.6,5.9,6.1,5.0,6.4,7.171314741035861,7.49250749250751,7.57575757575757,7.267144319344929,6.345957011258959,5.12820512820512,4.21377183967112,4.343329886246121,4.0582726326743
7.5,8.1,201107,7.1,6.8,6.8,7.3,7.2,6.6,5.9,6.1,4.8,7.80000000000001,7.171314741035861,7.49250749250751,7.57575757575757,7.267144319344929,6.345957011258959,5.12820512820512,4.21377183967112,4.27528675703857
7.3,8.000000000000009,201108,7.5,7.1,6.8,6.8,7.3,7.2,6.6,5.9,4.3,8.1,7.80000000000001,7.171314741035861,7.49250749250751,7.57575757575757,7.267144319344929,6.345957011258959,5.12820512820512,4.0582726326743
6.5,8.291708291708309,201109,7.3,7.5,7.1,6.8,6.8,7.3,7.2,6.6,4.3,8.000000000000009,8.1,7.80000000000001,7.171314741035861,7.49250749250751,7.57575757575757,7.267144319344929,6.345957011258959,3.94600207684319
5.0,7.43310208126858,201110,6.5,7.3,7.5,7.1,6.8,6.8,7.3,7.2,5.0,8.291708291708309,8.000000000000009,8.1,7.80000000000001,7.171314741035861,7.49250749250751,7.57575757575757,7.267144319344929,4.343329886246121
2.7,7.29783037475346,201111,5.0,6.5,7.3,7.5,7.1,6.8,6.8,7.3,6.1,7.43310208126858,8.291708291708309,8.000000000000009,8.1,7.80000000000001,7.171314741035861,7.49250749250751,7.57575757575757,4.21377183967112
1.7,5.75609756097563,201112,2.7,5.0,6.5,7.3,7.5,7.1,6.8,6.8,5.9,7.29783037475346,7.43310208126858,8.291708291708309,8.000000000000009,8.1,7.80000000000001,7.171314741035861,7.49250749250751,5.12820512820512
0.7,4.71607314725697,201201,1.7,2.7,5.0,6.5,7.3,7.5,7.1,6.8,6.6,5.75609756097563,7.29783037475346,7.43310208126858,8.291708291708309,8.000000000000009,8.1,7.80000000000001,7.171314741035861,6.345957011258959
0.0,4.29389312977099,201202,0.7,1.7,2.7,5.0,6.5,7.3,7.5,7.1,7.2,4.71607314725697,5.75609756097563,7.29783037475346,7.43310208126858,8.291708291708309,8.000000000000009,8.1,7.80000000000001,7.267144319344929
-0.3,3.5680751173709,201203,0.0,0.7,1.7,2.7,5.0,6.5,7.3,7.5,7.3,4.29389312977099,4.71607314725697,5.75609756097563,7.29783037475346,7.43310208126858,8.291708291708309,8.000000000000009,8.1,7.57575757575757
-0.7,2.60223048327138,201204,-0.3,0.0,0.7,1.7,2.7,5.0,6.5,7.3,6.8,3.5680751173709,4.29389312977099,4.71607314725697,5.75609756097563,7.29783037475346,7.43310208126858,8.291708291708309,8.000000000000009,7.49250749250751
-1.4,1.8587360594795301,201205,-0.7,-0.3,0.0,0.7,1.7,2.7,5.0,6.5,6.8,2.60223048327138,3.5680751173709,4.29389312977099,4.71607314725697,5.75609756097563,7.29783037475346,7.43310208126858,8.291708291708309,7.171314741035861
-2.1,0.742115027829314,201206,-1.4,-0.7,-0.3,0.0,0.7,1.7,2.7,5.0,7.1,1.8587360594795301,2.60223048327138,3.5680751173709,4.29389312977099,4.71607314725697,5.75609756097563,7.29783037475346,7.43310208126858,7.80000000000001
-2.9,0.647548566142472,201207,-2.1,-1.4,-0.7,-0.3,0.0,0.7,1.7,2.7,7.5,0.742115027829314,1.8587360594795301,2.60223048327138,3.5680751173709,4.29389312977099,4.71607314725697,5.75609756097563,7.29783037475346,8.1
-3.5,1.6666666666666698,201208,-2.9,-2.1,-1.4,-0.7,-0.3,0.0,0.7,1.7,7.3,0.647548566142472,0.742115027829314,1.8587360594795301,2.60223048327138,3.5680751173709,4.29389312977099,4.71607314725697,5.75609756097563,8.000000000000009
-3.6,1.8450184501845,201209,-3.5,-2.9,-2.1,-1.4,-0.7,-0.3,0.0,0.7,6.5,1.6666666666666698,0.647548566142472,0.742115027829314,1.8587360594795301,2.60223048327138,3.5680751173709,4.29389312977099,4.71607314725697,8.291708291708309
-2.8,1.8450184501845,201210,-3.6,-3.5,-2.9,-2.1,-1.4,-0.7,-0.3,0.0,5.0,1.8450184501845,1.6666666666666698,0.647548566142472,0.742115027829314,1.8587360594795301,2.60223048327138,3.5680751173709,4.29389312977099,7.43310208126858
-2.2,1.10294117647059,201211,-2.8,-3.6,-3.5,-2.9,-2.1,-1.4,-0.7,-0.3,2.7,1.8450184501845,1.8450184501845,1.6666666666666698,0.647548566142472,0.742115027829314,1.8587360594795301,2.60223048327138,3.5680751173709,7.29783037475346
-1.9,1.10701107011068,201212,-2.2,-2.8,-3.6,-3.5,-2.9,-2.1,-1.4,-0.7,1.7,1.10294117647059,1.8450184501845,1.8450184501845,1.6666666666666698,0.647548566142472,0.742115027829314,1.8587360594795301,2.60223048327138,5.75609756097563
-1.6,1.19485294117646,201301,-1.9,-2.2,-2.8,-3.6,-3.5,-2.9,-2.1,-1.4,0.7,1.10701107011068,1.10294117647059,1.8450184501845,1.8450184501845,1.6666666666666698,0.647548566142472,0.742115027829314,1.8587360594795301,4.71607314725697
-1.6,1.9213174748398998,201302,-1.6,-1.9,-2.2,-2.8,-3.6,-3.5,-2.9,-2.1,0.0,1.19485294117646,1.10701107011068,1.10294117647059,1.8450184501845,1.8450184501845,1.6666666666666698,0.647548566142472,0.742115027829314,4.29389312977099
-1.9,1.1786038077969099,201303,-1.6,-1.6,-1.9,-2.2,-2.8,-3.6,-3.5,-2.9,-0.3,1.9213174748398998,1.19485294117646,1.10701107011068,1.10294117647059,1.8450184501845,1.8450184501845,1.6666666666666698,0.647548566142472,3.5680751173709
-2.6,0.36231884057971003,201304,-1.9,-1.6,-1.6,-1.9,-2.2,-2.8,-3.6,-3.5,-0.7,1.1786038077969099,1.9213174748398998,1.19485294117646,1.10701107011068,1.10294117647059,1.8450184501845,1.8450184501845,1.6666666666666698,2.60223048327138
-2.9,0.8211678832116899,201305,-2.6,-1.9,-1.6,-1.6,-1.9,-2.2,-2.8,-3.6,-1.4,0.36231884057971003,1.1786038077969099,1.9213174748398998,1.19485294117646,1.10701107011068,1.10294117647059,1.8450184501845,1.8450184501845,1.8587360594795301
-2.7,1.8416206261509902,201306,-2.9,-2.6,-1.9,-1.6,-1.6,-1.9,-2.2,-2.8,-2.1,0.8211678832116899,0.36231884057971003,1.1786038077969099,1.9213174748398998,1.19485294117646,1.10701107011068,1.10294117647059,1.8450184501845,0.742115027829314
-2.3,2.2977941176470495,201307,-2.7,-2.9,-2.6,-1.9,-1.6,-1.6,-1.9,-2.2,-2.9,1.8416206261509902,0.8211678832116899,0.36231884057971003,1.1786038077969099,1.9213174748398998,1.19485294117646,1.10701107011068,1.10294117647059,0.647548566142472
-1.6,1.6393442622950603,201308,-2.3,-2.7,-2.9,-2.6,-1.9,-1.6,-1.6,-1.9,-3.5,2.2977941176470495,1.8416206261509902,0.8211678832116899,0.36231884057971003,1.1786038077969099,1.9213174748398998,1.19485294117646,1.10701107011068,1.6666666666666698
-1.3,0.996376811594194,201309,-1.6,-2.3,-2.7,-2.9,-2.6,-1.9,-1.6,-1.6,-3.6,1.6393442622950603,2.2977941176470495,1.8416206261509902,0.8211678832116899,0.36231884057971003,1.1786038077969099,1.9213174748398998,1.19485294117646,1.8450184501845
