CNY,GBP,Date,CNY-1,CNY-2,CNY-3,CNY-6,CNY-12,GBP-1,GBP-2,GBP-3,GBP-6,GBP-12
8.27699,0.548156636379759,200401,8.277000000000001,8.27691,8.27678,8.27722,8.276810000000001,0.570976102571058,0.591717061095713,0.595976322374027,0.616165309071559,0.6178942535438771
8.27712,0.535325437368056,200402,8.27699,8.277000000000001,8.27691,8.27701,8.27726,0.548156636379759,0.570976102571058,0.591717061095713,0.627493431444005,0.622041762524343
8.27713,0.547068047824086,200403,8.27712,8.27699,8.277000000000001,8.27712,8.27722,0.535325437368056,0.548156636379759,0.570976102571058,0.6198700453339101,0.631704720669103
8.27692,0.554118943319192,200404,8.27713,8.27712,8.27699,8.27678,8.27713,0.547068047824086,0.535325437368056,0.548156636379759,0.595976322374027,0.634901450416223
8.27707,0.559053109128785,200405,8.27692,8.27713,8.27712,8.27691,8.27691,0.554118943319192,0.547068047824086,0.535325437368056,0.591717061095713,0.616385258933644
8.276660000000001,0.546650992988524,200406,8.27707,8.27692,8.27713,8.277000000000001,8.27707,0.559053109128785,0.554118943319192,0.547068047824086,0.570976102571058,0.602220489584985
8.27673,0.542411944511248,200407,8.276660000000001,8.27707,8.27692,8.27699,8.27722,0.546650992988524,0.559053109128785,0.554118943319192,0.548156636379759,0.616165309071559
8.2768,0.549680897540124,200408,8.27673,8.276660000000001,8.27707,8.27712,8.27701,0.542411944511248,0.546650992988524,0.559053109128785,0.535325437368056,0.627493431444005
8.27665,0.5577996874777371,200409,8.2768,8.27673,8.276660000000001,8.27713,8.27712,0.549680897540124,0.542411944511248,0.546650992988524,0.547068047824086,0.6198700453339101
8.276539999999999,0.5530845956085041,200410,8.27665,8.2768,8.27673,8.27692,8.27678,0.5577996874777371,0.549680897540124,0.542411944511248,0.554118943319192,0.595976322374027
8.2765,0.5374726866506561,200411,8.276539999999999,8.27665,8.2768,8.27707,8.27691,0.5530845956085041,0.5577996874777371,0.549680897540124,0.559053109128785,0.591717061095713
8.2765,0.518143251987123,200412,8.2765,8.276539999999999,8.27665,8.276660000000001,8.277000000000001,0.5374726866506561,0.5530845956085041,0.5577996874777371,0.546650992988524,0.570976102571058
8.2765,0.532370363892579,200501,8.2765,8.2765,8.276539999999999,8.27673,8.27699,0.518143251987123,0.5374726866506561,0.5530845956085041,0.542411944511248,0.548156636379759
8.2765,0.529457001446766,200502,8.2765,8.2765,8.2765,8.2768,8.27712,0.532370363892579,0.518143251987123,0.5374726866506561,0.549680897540124,0.535325437368056
8.2765,0.5253117718549051,200503,8.2765,8.2765,8.2765,8.27665,8.27713,0.529457001446766,0.532370363892579,0.518143251987123,0.5577996874777371,0.547068047824086
8.2765,0.527329880508339,200504,8.2765,8.2765,8.2765,8.276539999999999,8.27692,0.5253117718549051,0.529457001446766,0.532370363892579,0.5530845956085041,0.554118943319192
8.2765,0.5395472867276829,200505,8.2765,8.2765,8.2765,8.2765,8.27707,0.527329880508339,0.5253117718549051,0.529457001446766,0.5374726866506561,0.559053109128785
8.2765,0.550150192815054,200506,8.2765,8.2765,8.2765,8.2765,8.276660000000001,0.5395472867276829,0.527329880508339,0.5253117718549051,0.518143251987123,0.546650992988524
8.230030000000001,0.5708505533841889,200507,8.2765,8.2765,8.2765,8.2765,8.27673,0.550150192815054,0.5395472867276829,0.527329880508339,0.532370363892579,0.542411944511248
8.10168,0.5572113543852231,200508,8.230030000000001,8.2765,8.2765,8.2765,8.2768,0.5708505533841889,0.550150192815054,0.5395472867276829,0.529457001446766,0.549680897540124
8.09188,0.553263798925442,200509,8.10168,8.230030000000001,8.2765,8.2765,8.27665,0.5572113543852231,0.5708505533841889,0.550150192815054,0.5253117718549051,0.5577996874777371
8.08944,0.5665063888884809,200510,8.09188,8.10168,8.230030000000001,8.2765,8.276539999999999,0.553263798925442,0.5572113543852231,0.5708505533841889,0.527329880508339,0.5530845956085041
8.08407,0.57626120466254,200511,8.08944,8.09188,8.10168,8.2765,8.2765,0.5665063888884809,0.553263798925442,0.5572113543852231,0.5395472867276829,0.5374726866506561
8.0757,0.572976295417614,200512,8.08407,8.08944,8.09188,8.2765,8.2765,0.57626120466254,0.5665063888884809,0.553263798925442,0.550150192815054,0.518143251987123
8.06639,0.566170651749906,200601,8.0757,8.08407,8.08944,8.230030000000001,8.2765,0.572976295417614,0.57626120466254,0.5665063888884809,0.5708505533841889,0.532370363892579
8.049489999999999,0.572171274138151,200602,8.06639,8.0757,8.08407,8.10168,8.2765,0.566170651749906,0.572976295417614,0.57626120466254,0.5572113543852231,0.529457001446766
8.035039999999999,0.5732636993763339,200603,8.049489999999999,8.06639,8.0757,8.09188,8.2765,0.572171274138151,0.566170651749906,0.572976295417614,0.553263798925442,0.5253117718549051
8.01563,0.565528021149806,200604,8.035039999999999,8.049489999999999,8.06639,8.08944,8.2765,0.5732636993763339,0.572171274138151,0.566170651749906,0.5665063888884809,0.527329880508339
8.01445,0.534831175484986,200605,8.01563,8.035039999999999,8.049489999999999,8.08407,8.2765,0.565528021149806,0.5732636993763339,0.572171274138151,0.57626120466254,0.5395472867276829
8.00671,0.5425667824125461,200606,8.01445,8.01563,8.035039999999999,8.0757,8.2765,0.534831175484986,0.565528021149806,0.5732636993763339,0.572976295417614,0.550150192815054
7.99075,0.542089446923591,200607,8.00671,8.01445,8.01563,8.06639,8.230030000000001,0.5425667824125461,0.534831175484986,0.565528021149806,0.566170651749906,0.5708505533841889
7.973330000000001,0.52816588449313,200608,7.99075,8.00671,8.01445,8.049489999999999,8.10168,0.542089446923591,0.5425667824125461,0.534831175484986,0.572171274138151,0.5572113543852231
7.9362,0.530316781346044,200609,7.973330000000001,7.99075,8.00671,8.035039999999999,8.09188,0.52816588449313,0.542089446923591,0.5425667824125461,0.5732636993763339,0.553263798925442
7.903239999999999,0.5329114395161,200610,7.9362,7.973330000000001,7.99075,8.01563,8.08944,0.530316781346044,0.52816588449313,0.542089446923591,0.565528021149806,0.5665063888884809
7.86607,0.5229715169939461,200611,7.903239999999999,7.9362,7.973330000000001,8.01445,8.08407,0.5329114395161,0.530316781346044,0.52816588449313,0.534831175484986,0.57626120466254
7.8239600000000005,0.509598361184803,200612,7.86607,7.903239999999999,7.9362,8.00671,8.0757,0.5229715169939461,0.5329114395161,0.530316781346044,0.5425667824125461,0.572976295417614
7.78959,0.5104401266832891,200701,7.8239600000000005,7.86607,7.903239999999999,7.99075,8.06639,0.509598361184803,0.5229715169939461,0.5329114395161,0.542089446923591,0.566170651749906
7.754630000000001,0.5105614109878069,200702,7.78959,7.8239600000000005,7.86607,7.973330000000001,8.049489999999999,0.5104401266832891,0.509598361184803,0.5229715169939461,0.52816588449313,0.572171274138151
7.738980000000001,0.513406735053795,200703,7.754630000000001,7.78959,7.8239600000000005,7.9362,8.035039999999999,0.5105614109878069,0.5104401266832891,0.509598361184803,0.530316781346044,0.5732636993763339
7.72571,0.503143420018579,200704,7.738980000000001,7.754630000000001,7.78959,7.903239999999999,8.01563,0.513406735053795,0.5105614109878069,0.5104401266832891,0.5329114395161,0.565528021149806
7.67342,0.504178046112682,200705,7.72571,7.738980000000001,7.754630000000001,7.86607,8.01445,0.503143420018579,0.513406735053795,0.5105614109878069,0.5229715169939461,0.534831175484986
7.63302,0.503246808730172,200706,7.67342,7.72571,7.738980000000001,7.8239600000000005,8.00671,0.504178046112682,0.503143420018579,0.513406735053795,0.509598361184803,0.5425667824125461
7.579560000000001,0.4916043508816571,200707,7.63302,7.67342,7.72571,7.78959,7.99075,0.503246808730172,0.504178046112682,0.503143420018579,0.5104401266832891,0.542089446923591
7.57529,0.49724512874675497,200708,7.579560000000001,7.63302,7.67342,7.754630000000001,7.973330000000001,0.4916043508816571,0.503246808730172,0.504178046112682,0.5105614109878069,0.52816588449313
7.52429,0.49536504938039294,200709,7.57529,7.579560000000001,7.63302,7.738980000000001,7.9362,0.49724512874675497,0.4916043508816571,0.503246808730172,0.513406735053795,0.530316781346044
7.50063,0.48911539092894607,200710,7.52429,7.57529,7.579560000000001,7.72571,7.903239999999999,0.49536504938039294,0.49724512874675497,0.4916043508816571,0.503143420018579,0.5329114395161
7.423310000000001,0.48266628184567495,200711,7.50063,7.52429,7.57529,7.67342,7.86607,0.48911539092894607,0.49536504938039294,0.49724512874675497,0.504178046112682,0.5229715169939461
7.3719600000000005,0.496004636407058,200712,7.423310000000001,7.50063,7.52429,7.63302,7.8239600000000005,0.48266628184567495,0.48911539092894607,0.49536504938039294,0.503246808730172,0.509598361184803
7.24781,0.507551020387508,200801,7.3719600000000005,7.423310000000001,7.50063,7.579560000000001,7.78959,0.496004636407058,0.48266628184567495,0.48911539092894607,0.4916043508816571,0.5104401266832891
7.165039999999999,0.509391905953094,200802,7.24781,7.3719600000000005,7.423310000000001,7.57529,7.754630000000001,0.507551020387508,0.496004636407058,0.48266628184567495,0.49724512874675497,0.5105614109878069
7.07521,0.49978349969905295,200803,7.165039999999999,7.24781,7.3719600000000005,7.52429,7.738980000000001,0.509391905953094,0.507551020387508,0.496004636407058,0.49536504938039294,0.513406735053795
7.0007600000000005,0.504574935684339,200804,7.07521,7.165039999999999,7.24781,7.50063,7.72571,0.49978349969905295,0.509391905953094,0.507551020387508,0.48911539092894607,0.503143420018579
