Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"Swaziland"	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	
"Sudan (before 2012)"	24	19	131	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Zimbabwe"	2	0	0	0	1	0	0	6	0	0	0	0	0	1	27	2	2	0	0	0	
"South Sudan"	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	0	2	0	
"British Virgin Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	
"Burundi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	35	0	
"Congo"	81	29	60	29	44	11	0	19	90	16	3	12	39	9	19	2	41	0	3	0	
"Central African Republic"	0	0	0	0	0	0	0	0	11	0	0	12	0	0	0	0	0	0	0	0	
"Chad"	13	39	25	0	0	0	0	9	0	0	0	0	0	0	0	0	4	2	0	0	
"Botswana"	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
"Bahamas"	12	0	26	12	0	1	11	0	10	0	0	13	12	0	0	27	0	0	26	0	
"Antigua and Barbuda"	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	
"Kiribati"	0	0	0	0	2	0	7	7	0	0	0	4	6	0	2	0	0	0	0	0	
"Grenada"	12	0	0	0	1	0	0	0	0	11	0	0	0	1	0	1	0	0	0	0	
"Gambia"	0	23	13	0	0	1	1	9	0	12	15	14	39	58	0	0	11	13	67	0	
"Palestine, State of"	0	101	13	110	123	235	27	142	62	60	183	0	65	0	0	71	97	53	0	0	
"Cook Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Eritrea"	0	0	0	0	9	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	
"Dominica"	0	0	0	0	0	0	0	0	0	0	0	0	216	24	0	1	0	0	0	0	
"Maldives"	0	13	0	0	13	33	0	1	37	2	18	1	1	36	0	0	1	4	0	0	
