"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-02","Feb-2012","PC","Percentage","0","Units",,,9.53974895397489,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-03","Mar-2012","PC","Percentage","0","Units",,,8.97196261682241,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-04","Apr-2012","PC","Percentage","0","Units",,,9.02053365542989,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-05","May-2012","PC","Percentage","0","Units",,,7.4898236092266,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-06","Jun-2012","PC","Percentage","0","Units",,,5.96765498652291,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-07","Jul-2012","PC","Percentage","0","Units",,,4.46324077029472,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-08","Aug-2012","PC","Percentage","0","Units",,,2.816607552681,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-09","Sep-2012","PC","Percentage","0","Units",,,2.17737379961999,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-10","Oct-2012","PC","Percentage","0","Units",,,1.68024439918532,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-11","Nov-2012","PC","Percentage","0","Units",,,1.63758251880662,,
