"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-12","Dec-2005","IDX","Index","0","Units",,,100.0844,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-01","Jan-2006","IDX","Index","0","Units",,,100.2744,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-02","Feb-2006","IDX","Index","0","Units",,,100.6841,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-03","Mar-2006","IDX","Index","0","Units",,,100.6133,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-04","Apr-2006","IDX","Index","0","Units",,,100.2057,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-05","May-2006","IDX","Index","0","Units",,,99.83617,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-06","Jun-2006","IDX","Index","0","Units",,,99.21534,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-07","Jul-2006","IDX","Index","0","Units",,,99.29094,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-08","Aug-2006","IDX","Index","0","Units",,,99.27697,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-09","Sep-2006","IDX","Index","0","Units",,,98.68492,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-10","Oct-2006","IDX","Index","0","Units",,,98.65066,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-11","Nov-2006","IDX","Index","0","Units",,,99.69811,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2006-12","Dec-2006","IDX","Index","0","Units",,,100.8078,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-01","Jan-2007","IDX","Index","0","Units",,,101.4365,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-02","Feb-2007","IDX","Index","0","Units",,,101.3879,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-03","Mar-2007","IDX","Index","0","Units",,,101.4608,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-04","Apr-2007","IDX","Index","0","Units",,,100.7567,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-05","May-2007","IDX","Index","0","Units",,,100.453,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-06","Jun-2007","IDX","Index","0","Units",,,100.7602,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-07","Jul-2007","IDX","Index","0","Units",,,100.7916,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-08","Aug-2007","IDX","Index","0","Units",,,100.7368,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-09","Sep-2007","IDX","Index","0","Units",,,100.9115,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-10","Oct-2007","IDX","Index","0","Units",,,101.0793,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-11","Nov-2007","IDX","Index","0","Units",,,101.3812,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2007-12","Dec-2007","IDX","Index","0","Units",,,101.0649,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-01","Jan-2008","IDX","Index","0","Units",,,100.2113,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-02","Feb-2008","IDX","Index","0","Units",,,99.90141,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-03","Mar-2008","IDX","Index","0","Units",,,99.6643,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-04","Apr-2008","IDX","Index","0","Units",,,98.59773,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-05","May-2008","IDX","Index","0","Units",,,97.83711,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-06","Jun-2008","IDX","Index","0","Units",,,97.39669,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-07","Jul-2008","IDX","Index","0","Units",,,96.44611,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-08","Aug-2008","IDX","Index","0","Units",,,94.51472,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-09","Sep-2008","IDX","Index","0","Units",,,91.28657,,
